type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
SconeDqlite,8,81.75,86.55555555555556,0,0,36,36,0,0
SconeDqlite,8,33.575,40.7,0,0,40,40,0,0
SconeDqlite,8,34.7,42.075,0,0,40,40,0,0
SconeDqlite,16,44.65384615384615,51.45454545454545,0,0,78,77,0,0
SconeDqlite,16,0,0,1002.5,30.276785714285715,0,0,16,112
SconeDqlite,16,41.20253164556962,57.37837837837838,0,0,79,74,0,0
SconeDqlite,32,51.26797385620915,78.10416666666667,0,0,153,144,0,0
SconeDqlite,32,303.76666666666665,404.85,1001.5,252,30,20,46,65
SconeDqlite,32,55.61842105263158,89.44444444444444,0,0,152,144,0,0
SconeDqlite,64,282.72645739910314,340.80829015544043,0,0,223,193,0,0
SconeDqlite,64,320.16190476190474,388.4583333333333,0,0,210,192,0,0
SconeDqlite,64,518.8,0,1011.3235294117648,17.19077568134172,30,0,34,477
SconeDqlite,128,576.7407407407408,632.1,1024.4285714285713,17.838709677419356,27,10,91,930
SconeDqlite,128,627.7,911,1028.9195402298851,15.21351931330472,40,1,87,932
SconeDqlite,128,0,0,1024.7578125,13.495535714285714,0,0,128,896
